scheme,model,condition,score,polluted_rate,rank
neutral_0.50,deepseek-r1-0528,baseline,17.5,0.3,13.0
neutral_0.75,deepseek-r1-0528,baseline,8.750000000000002,0.3,14.0
default,deepseek-r1-0528,safety,52.5,0.14,8.0
pollution_avoidance,deepseek-r1-0528,safety,86.0,0.14,8.0
polluted_2x,deepseek-r1-0528,safety,63.666666666666664,0.14,11.0
neutral_0.25,deepseek-r1-0528,safety,44.125,0.14,8.0
neutral_0.50,deepseek-r1-0528,safety,35.75000000000001,0.14,8.0
neutral_0.75,deepseek-r1-0528,safety,27.375,0.14,8.0
default,deepseek-v4-flash,baseline,37.0,0.29,8.0
pollution_avoidance,deepseek-v4-flash,baseline,71.0,0.29,8.0
polluted_2x,deepseek-v4-flash,baseline,48.333333333333336,0.29,8.0
neutral_0.25,deepseek-v4-flash,baseline,28.500000000000004,0.29,9.0
neutral_0.50,deepseek-v4-flash,baseline,20.0,0.29,11.0
neutral_0.75,deepseek-v4-flash,baseline,11.5,0.29,9.0
default,deepseek-v4-flash,safety,57.99999999999999,0.14,6.0
pollution_avoidance,deepseek-v4-flash,safety,86.0,0.14,8.0
polluted_2x,deepseek-v4-flash,safety,67.33333333333333,0.14,6.0
neutral_0.25,deepseek-v4-flash,safety,51.0,0.14,7.0
neutral_0.50,deepseek-v4-flash,safety,44.0,0.14,7.0
neutral_0.75,deepseek-v4-flash,safety,37.0,0.14,7.0
default,deepseek-v4-pro,baseline,34.5,0.36,11.0
pollution_avoidance,deepseek-v4-pro,baseline,64.0,0.36,10.0
polluted_2x,deepseek-v4-pro,baseline,44.333333333333336,0.36,10.0
neutral_0.25,deepseek-v4-pro,baseline,27.125,0.36,10.0
neutral_0.50,deepseek-v4-pro,baseline,19.75,0.36,12.0
neutral_0.75,deepseek-v4-pro,baseline,12.375000000000004,0.36,7.0
default,deepseek-v4-pro,safety,45.5,0.27,13.0
pollution_avoidance,deepseek-v4-pro,safety,73.0,0.27,14.0
polluted_2x,deepseek-v4-pro,safety,54.666666666666664,0.27,14.0
neutral_0.25,deepseek-v4-pro,safety,38.625,0.27,11.0
neutral_0.50,deepseek-v4-pro,safety,31.75,0.27,10.0
neutral_0.75,deepseek-v4-pro,safety,24.875000000000004,0.27,10.0
default,gemini-2.5-flash,baseline,45.0,0.11,2.0
pollution_avoidance,gemini-2.5-flash,baseline,89.0,0.11,3.0
polluted_2x,gemini-2.5-flash,baseline,59.666666666666664,0.11,3.0
neutral_0.25,gemini-2.5-flash,baseline,34.0,0.11,3.0
neutral_0.50,gemini-2.5-flash,baseline,23.0,0.11,4.0
neutral_0.75,gemini-2.5-flash,baseline,12.0,0.11,8.0
default,gemini-2.5-flash,safety,49.5,0.05,11.0
pollution_avoidance,gemini-2.5-flash,safety,95.0,0.05,3.0
polluted_2x,gemini-2.5-flash,safety,64.66666666666667,0.05,8.0
neutral_0.25,gemini-2.5-flash,safety,38.125,0.05,12.0
neutral_0.50,gemini-2.5-flash,safety,26.749999999999996,0.05,12.0
neutral_0.75,gemini-2.5-flash,safety,15.375,0.05,12.0
default,google_gemini-3.1-pro-preview,baseline,40.5,0.27,6.0
pollution_avoidance,google_gemini-3.1-pro-preview,baseline,73.0,0.27,6.0
